Stname  observed          L95PPU          U95PPU        Best_Sim
FLOW_OUT_7     373.470001      14.573575       23.461357       14.550000      
FLOW_OUT_7     306.000000      0.018182        6.872985        7.273000       
FLOW_OUT_7     113.190002      0.015797        5.971454        6.319000       
FLOW_OUT_7     23.120001       0.018620        7.038360        7.448000       
FLOW_OUT_7     5.820000        3.529367        9.699918        10.060000      
FLOW_OUT_7     20.209999       37.808998       116.602005      37.599998      
FLOW_OUT_7     28.910000       14.096475       54.237545       13.990000      
FLOW_OUT_7     37.340000       55.817699       81.340599       55.750000      
FLOW_OUT_7     50.110001       187.320251      383.454498      186.800003     
FLOW_OUT_7     54.509998       189.989487      412.231079      189.399994     
FLOW_OUT_7     60.209999       90.208328       217.756882      89.870003      
FLOW_OUT_7     125.029999      54.237324       117.318855      54.070000      
FLOW_OUT_7     192.000000      5.669793        27.080564       28.330000      
FLOW_OUT_7     157.570007      0.057875        21.876755       23.150000      
FLOW_OUT_7     52.119999       0.054950        20.771101       21.980000      
FLOW_OUT_7     7.700000        0.053625        20.270252       21.450001      
FLOW_OUT_7     10.060000       0.054025        20.421450       21.610001      
FLOW_OUT_7     8.250000        34.844723       85.636055       34.709999      
FLOW_OUT_7     14.400000       38.581249       42.822506       38.570000      
FLOW_OUT_7     66.620003       48.065823       121.891853      47.869999      
FLOW_OUT_7     88.949997       98.165726       194.574081      97.910004      
FLOW_OUT_7     138.669998      64.131973       185.516541      63.810001      
FLOW_OUT_7     122.690002      45.990250       117.714500      45.799999      
FLOW_OUT_7     285.640015      43.879799       119.204384      43.680000      
FLOW_OUT_7     254.139999      6.334840        21.731522       22.629999      
FLOW_OUT_7     151.619995      0.046125        17.435251       18.450001      
FLOW_OUT_7     48.040001       0.042100        15.913800       16.840000      
FLOW_OUT_7     14.620000       0.041375        15.639748       16.549999      
FLOW_OUT_7     5.410000        0.048869        17.029114       18.020000      
FLOW_OUT_7     12.660000       23.899099       151.739807      23.559999      
FLOW_OUT_7     37.650002       50.481728       115.222076      50.310001      
FLOW_OUT_7     109.150002      117.873497      258.683014      117.500000     
FLOW_OUT_7     67.889999       124.170250      188.354477      124.000000     
FLOW_OUT_7     77.660004       82.596321       205.620819      82.269997      
FLOW_OUT_7     112.949997      127.704254      280.106506      127.300003     
FLOW_OUT_7     146.029999      97.791649       192.663666      97.540001      
FLOW_OUT_7     244.229996      17.347549       50.353893       52.279999      
FLOW_OUT_7     272.320007      0.112450        42.506107       44.980000      
FLOW_OUT_7     184.839996      0.102000        38.556004       40.799999      
FLOW_OUT_7     25.330000       0.100575        38.017345       40.230000      
FLOW_OUT_7     14.940000       0.098675        37.299152       39.470001      
FLOW_OUT_7     13.710000       151.206253      492.862488      150.300003     
FLOW_OUT_7     34.990002       86.636002       100.208023      86.599998      
FLOW_OUT_7     42.610001       92.040573       118.647331      91.970001      
FLOW_OUT_7     46.639999       73.018295       125.157379      72.879997      
FLOW_OUT_7     51.619999       12.922375       36.437756       37.810001      
FLOW_OUT_7     75.379997       93.643677       249.599136      93.230003      
FLOW_OUT_7     105.970001      116.666000      254.648010      116.300003     
FLOW_OUT_7     353.000000      83.626770       135.190948      83.489998      
FLOW_OUT_7     175.979996      0.140575        53.137356       56.230000      
FLOW_OUT_7     27.830000       0.126225        47.713051       50.490002      
FLOW_OUT_7     24.930000       0.121825        46.049858       48.730000      
FLOW_OUT_7     3.530000        0.118875        44.934757       47.549999      
FLOW_OUT_7     8.890000        4.332027        43.173397       45.439999      
FLOW_OUT_7     30.360001       0.107000        40.445992       42.799999      
FLOW_OUT_7     37.720001       14.851300       37.961399       39.310001      
FLOW_OUT_7     40.000000       56.012001       135.936035      55.799999      
FLOW_OUT_7     43.650002       63.098526       85.162476       63.040001      
FLOW_OUT_7     42.340000       187.408249      454.418396      186.699997     
FLOW_OUT_7     52.340000       42.983974       48.252537       48.560001      
FLOW_OUT_7     139.320007      3.867893        35.872368       37.740002      
FLOW_OUT_7     74.980003       0.449554        31.006815       32.790001      
FLOW_OUT_7     18.090000       0.073325        27.716852       29.330000      
FLOW_OUT_7     8.580000        0.071300        26.951399       28.520000      
FLOW_OUT_7     0.320000        0.092610        27.406107       29.000000      
FLOW_OUT_7     2.390000        1.044310        26.872766       28.379999      
FLOW_OUT_7     8.920000        0.066428        25.108648       26.570000      
